"Dist Code","Year","State Code","State Name","Dist Name","SUGARCANE AREA (1000 ha)","SUGARCANE PRODUCTION (1000 tons)","SUGARCANE YIELD (Kg per ha)"
"2","2000","14","Chhattisgarh","Bastar","0.43","0.13","302.0"
"2","2001","14","Chhattisgarh","Bastar","0.32","0.11","344.0"
"2","2002","14","Chhattisgarh","Bastar","0.32","0.09","281.0"
"2","2003","14","Chhattisgarh","Bastar","0.43","0.14","326.0"
"2","2004","14","Chhattisgarh","Bastar","0.31","0.1","323.0"
"2","2005","14","Chhattisgarh","Bastar","0.31","0.1","323.0"
"2","2006","14","Chhattisgarh","Bastar","0.94","0.14","149.0"
"2","2007","14","Chhattisgarh","Bastar","1.28","0.21","164.0"
"2","2008","14","Chhattisgarh","Bastar","1.17","0.22","188.0"
"2","2009","14","Chhattisgarh","Bastar","1.02","0.34","333.0"
"2","2010","14","Chhattisgarh","Bastar","1.02","0.12","118.0"
"2","2011","14","Chhattisgarh","Bastar","0.52","0.32","615.0"
"2","2012","14","Chhattisgarh","Bastar","0.42","0.15","357.0"
"2","2013","14","Chhattisgarh","Bastar","0.49","0.14","286.0"
"2","2014","14","Chhattisgarh","Bastar","0.6","0.32","533.0"
"2","2015","14","Chhattisgarh","Bastar","0.32","0.1","299.0"
"2","2016","14","Chhattisgarh","Bastar","0.86","0.19","223.0"
"2","2017","14","Chhattisgarh","Bastar","0.68","0.1","153.0"
"3","1990","14","Chhattisgarh","Raipur","0.25","0.8","3200.0"
"3","1991","14","Chhattisgarh","Raipur","0.26","0.8","3077.0"
"3","1992","14","Chhattisgarh","Raipur","0.29","0.9","3103.0"
"3","1993","14","Chhattisgarh","Raipur","0.27","0.8","2963.0"
"3","1994","14","Chhattisgarh","Raipur","0.2","0.6","3000.0"
"3","1995","14","Chhattisgarh","Raipur","0.3","0.9","3000.0"
"3","1996","14","Chhattisgarh","Raipur","0.2","0.8","4000.0"
"3","1997","14","Chhattisgarh","Raipur","0.2","0.6","3000.0"
"3","1998","14","Chhattisgarh","Raipur","0.3","0.8","2667.0"
"3","1999","14","Chhattisgarh","Raipur","0.1","0.3","3000.0"
"3","2000","14","Chhattisgarh","Raipur","0.11","0.03","273.0"
"3","2001","14","Chhattisgarh","Raipur","0.07","0.02","286.0"
"3","2002","14","Chhattisgarh","Raipur","0.06","0.02","333.0"
"3","2003","14","Chhattisgarh","Raipur","0.11","0.03","273.0"
"3","2004","14","Chhattisgarh","Raipur","0.11","0.03","273.0"
"3","2005","14","Chhattisgarh","Raipur","0.11","0.03","273.0"
"3","2006","14","Chhattisgarh","Raipur","0.2","0.04","200.0"
"3","2007","14","Chhattisgarh","Raipur","0.29","0.05","172.0"
"3","2008","14","Chhattisgarh","Raipur","0.24","0.05","208.0"
"3","2009","14","Chhattisgarh","Raipur","0.21","0.0","0.0"
"3","2010","14","Chhattisgarh","Raipur","0.1","0.04","400.0"
"3","2011","14","Chhattisgarh","Raipur","0.06","0.02","333.0"
"3","2012","14","Chhattisgarh","Raipur","0.03","0.01","333.0"
"3","2013","14","Chhattisgarh","Raipur","0.09","0.03","333.0"
"3","2014","14","Chhattisgarh","Raipur","0.09","0.08","889.0"
"3","2015","14","Chhattisgarh","Raipur","0.12","0.04","302.0"
"3","2016","14","Chhattisgarh","Raipur","0.18","0.03","175.0"
"3","2017","14","Chhattisgarh","Raipur","0.17","0.04","222.0"
"4","1990","14","Chhattisgarh","Bilaspur","0.43","1.1","2558.0"
"4","1991","14","Chhattisgarh","Bilaspur","0.85","1.7","2000.0"
"4","1992","14","Chhattisgarh","Bilaspur","0.94","2.5","2660.0"
"4","1993","14","Chhattisgarh","Bilaspur","0.8","2.0","2500.0"
"4","1994","14","Chhattisgarh","Bilaspur","0.6","1.6","2667.0"
"4","1995","14","Chhattisgarh","Bilaspur","1.3","4.4","3385.0"
"4","1996","14","Chhattisgarh","Bilaspur","1.8","5.9","3278.0"
"4","1997","14","Chhattisgarh","Bilaspur","0.98","2.8","2857.0"
"4","1998","14","Chhattisgarh","Bilaspur","1.8","5.2","2889.0"
"4","1999","14","Chhattisgarh","Bilaspur","1.38","4.18","3029.0"
"4","2000","14","Chhattisgarh","Bilaspur","0.16","0.05","313.0"
"4","2001","14","Chhattisgarh","Bilaspur","0.1","0.03","300.0"
"4","2002","14","Chhattisgarh","Bilaspur","0.19","0.06","316.0"
"4","2003","14","Chhattisgarh","Bilaspur","0.17","0.05","294.0"
"4","2004","14","Chhattisgarh","Bilaspur","0.35","0.11","314.0"
"4","2005","14","Chhattisgarh","Bilaspur","0.35","0.11","314.0"
"4","2006","14","Chhattisgarh","Bilaspur","0.39","0.07","179.0"
"4","2007","14","Chhattisgarh","Bilaspur","0.59","0.11","186.0"
"4","2008","14","Chhattisgarh","Bilaspur","0.77","0.15","195.0"
"4","2009","14","Chhattisgarh","Bilaspur","0.76","0.24","316.0"
"4","2010","14","Chhattisgarh","Bilaspur","0.4","0.13","325.0"
"4","2011","14","Chhattisgarh","Bilaspur","0.01","0.02","2000.0"
"4","2012","14","Chhattisgarh","Bilaspur","0.01","0.0","0.0"
"4","2013","14","Chhattisgarh","Bilaspur","0.02","0.01","500.0"
"4","2014","14","Chhattisgarh","Bilaspur","0.02","0.01","500.0"
"4","2015","14","Chhattisgarh","Bilaspur","0.05","0.02","319.0"
"4","2016","14","Chhattisgarh","Bilaspur","0.05","0.01","283.0"
"4","2017","14","Chhattisgarh","Bilaspur","0.06","0.0","75.0"
"5","1990","14","Chhattisgarh","Raigarh","0.28","0.9","3214.0"
"5","1991","14","Chhattisgarh","Raigarh","0.39","2.8","7179.0"
"5","1992","14","Chhattisgarh","Raigarh","0.5","1.6","3200.0"
"5","1993","14","Chhattisgarh","Raigarh","0.56","1.9","3393.0"
"5","1994","14","Chhattisgarh","Raigarh","0.6","2.2","3667.0"
"5","1995","14","Chhattisgarh","Raigarh","0.6","2.2","3667.0"
"5","1996","14","Chhattisgarh","Raigarh","0.9","2.8","3111.0"
"5","1997","14","Chhattisgarh","Raigarh","1.1","3.1","2818.0"
"5","1998","14","Chhattisgarh","Raigarh","0.8","2.3","2875.0"
"5","1999","14","Chhattisgarh","Raigarh","0.48","1.56","3250.0"
"5","2000","14","Chhattisgarh","Raigarh","0.49","0.14","286.0"
"5","2001","14","Chhattisgarh","Raigarh","0.31","0.09","290.0"
"5","2002","14","Chhattisgarh","Raigarh","0.41","0.12","293.0"
"5","2003","14","Chhattisgarh","Raigarh","0.51","0.14","275.0"
"5","2004","14","Chhattisgarh","Raigarh","0.51","0.15","294.0"
"5","2005","14","Chhattisgarh","Raigarh","0.51","0.15","294.0"
"5","2006","14","Chhattisgarh","Raigarh","0.71","0.13","183.0"
"5","2007","14","Chhattisgarh","Raigarh","0.63","0.14","222.0"
"5","2008","14","Chhattisgarh","Raigarh","0.56","0.12","214.0"
"5","2009","14","Chhattisgarh","Raigarh","0.53","0.13","245.0"
"5","2010","14","Chhattisgarh","Raigarh","0.52","0.09","173.0"
"5","2011","14","Chhattisgarh","Raigarh","0.3","0.17","567.0"
"5","2012","14","Chhattisgarh","Raigarh","0.24","0.08","333.0"
"5","2013","14","Chhattisgarh","Raigarh","0.24","0.07","292.0"
"5","2014","14","Chhattisgarh","Raigarh","0.29","0.15","517.0"
"5","2015","14","Chhattisgarh","Raigarh","0.18","0.06","321.0"
"5","2016","14","Chhattisgarh","Raigarh","0.44","0.07","156.0"
"5","2017","14","Chhattisgarh","Raigarh","0.33","0.06","193.0"
"6","1990","14","Chhattisgarh","Surguja","0.27","0.9","3333.0"
"6","1991","14","Chhattisgarh","Surguja","0.73","1.1","1507.0"
"6","1992","14","Chhattisgarh","Surguja","0.34","0.9","2647.0"
"6","1993","14","Chhattisgarh","Surguja","0.35","1.2","3429.0"
"6","1994","14","Chhattisgarh","Surguja","0.3","1.0","3333.0"
"6","1995","14","Chhattisgarh","Surguja","0.4","1.3","3250.0"
"6","1996","14","Chhattisgarh","Surguja","0.7","2.0","2857.0"
"6","1997","14","Chhattisgarh","Surguja","0.49","1.7","3469.0"
"6","1998","14","Chhattisgarh","Surguja","1.07","1.44","1346.0"
"6","1999","14","Chhattisgarh","Surguja","0.6","1.99","3317.0"
"6","2000","14","Chhattisgarh","Surguja","0.71","0.22","310.0"
"6","2001","14","Chhattisgarh","Surguja","1.03","0.33","320.0"
"6","2002","14","Chhattisgarh","Surguja","0.89","0.27","303.0"
"6","2003","14","Chhattisgarh","Surguja","1.14","0.36","316.0"
"6","2004","14","Chhattisgarh","Surguja","1.27","0.37","291.0"
"6","2005","14","Chhattisgarh","Surguja","1.27","0.37","291.0"
"6","2006","14","Chhattisgarh","Surguja","3.36","0.48","143.0"
"6","2007","14","Chhattisgarh","Surguja","4.15","0.7","169.0"
"6","2008","14","Chhattisgarh","Surguja","3.66","0.57","156.0"
"6","2009","14","Chhattisgarh","Surguja","3.14","0.76","242.0"
"6","2010","14","Chhattisgarh","Surguja","2.1","0.6","286.0"
"6","2011","14","Chhattisgarh","Surguja","1.1","0.56","509.0"
"6","2012","14","Chhattisgarh","Surguja","0.86","0.26","302.0"
"6","2013","14","Chhattisgarh","Surguja","1.06","0.33","311.0"
"6","2014","14","Chhattisgarh","Surguja","0.94","0.66","702.0"
"6","2015","14","Chhattisgarh","Surguja","0.94","0.29","308.0"
"6","2016","14","Chhattisgarh","Surguja","2.03","0.23","113.0"
"6","2017","14","Chhattisgarh","Surguja","1.97","0.5","251.0"
"7","1990","6","Madhya Pradesh","Jabalpur","0.07","0.2","2857.0"
"7","1991","6","Madhya Pradesh","Jabalpur","0.09","0.2","2222.0"
"7","1992","6","Madhya Pradesh","Jabalpur","0.07","0.1","1429.0"
"7","1993","6","Madhya Pradesh","Jabalpur","0.06","0.1","1667.0"
"7","1994","6","Madhya Pradesh","Jabalpur","0.1","0.1","1000.0"
"7","1995","6","Madhya Pradesh","Jabalpur","0.0","0.1","0.0"
"7","1996","6","Madhya Pradesh","Jabalpur","0.1","0.1","1000.0"
"7","1997","6","Madhya Pradesh","Jabalpur","0.08","0.2","2500.0"
"7","1998","6","Madhya Pradesh","Jabalpur","0.14","0.18","1286.0"
"7","1999","6","Madhya Pradesh","Jabalpur","0.1","0.2","2000.0"
"7","2000","6","Madhya Pradesh","Jabalpur","0.1","0.2","2000.0"
"7","2001","6","Madhya Pradesh","Jabalpur","0.1","0.4","4000.0"
"7","2002","6","Madhya Pradesh","Jabalpur","0.2","0.4","2000.0"
"7","2003","6","Madhya Pradesh","Jabalpur","0.1","0.4","4000.0"
"7","2004","6","Madhya Pradesh","Jabalpur","0.35","0.61","1743.0"
"7","2005","6","Madhya Pradesh","Jabalpur","0.94","1.17","1245.0"
"7","2006","6","Madhya Pradesh","Jabalpur","1.76","1.97","1119.0"
"7","2007","6","Madhya Pradesh","Jabalpur","1.2","2.9","2417.0"
"7","2008","6","Madhya Pradesh","Jabalpur","0.5","1.3","2600.0"
"7","2009","6","Madhya Pradesh","Jabalpur","0.7","1.8","2571.0"
"7","2010","6","Madhya Pradesh","Jabalpur","0.4","1.1","2750.0"
"7","2011","6","Madhya Pradesh","Jabalpur","0.5","1.3","2600.0"
"7","2012","6","Madhya Pradesh","Jabalpur","0.2","0.63","3150.0"
"7","2013","6","Madhya Pradesh","Jabalpur","0.85","2.55","3000.0"
"7","2014","6","Madhya Pradesh","Jabalpur","1.0","3.0","3000.0"
"7","2015","6","Madhya Pradesh","Jabalpur","3.0","11.0","3667.0"
"7","2016","6","Madhya Pradesh","Jabalpur","0.0","0.0","0.0"
"7","2017","6","Madhya Pradesh","Jabalpur","3.37","1.79","530.0"
"8","1990","6","Madhya Pradesh","Balaghat","1.45","5.3","3655.0"
"8","1991","6","Madhya Pradesh","Balaghat","1.63","6.7","4110.0"
"8","1992","6","Madhya Pradesh","Balaghat","1.14","4.7","4123.0"
"8","1993","6","Madhya Pradesh","Balaghat","1.32","6.0","4545.0"
"8","1994","6","Madhya Pradesh","Balaghat","1.4","5.0","3571.0"
"8","1995","6","Madhya Pradesh","Balaghat","0.5","1.9","3800.0"
"8","1996","6","Madhya Pradesh","Balaghat","2.0","7.1","3550.0"
"8","1997","6","Madhya Pradesh","Balaghat","0.48","1.8","3750.0"
"8","1998","6","Madhya Pradesh","Balaghat","0.9","3.7","4111.0"
"8","1999","6","Madhya Pradesh","Balaghat","1.3","5.8","4462.0"
"8","2000","6","Madhya Pradesh","Balaghat","0.9","3.7","4111.0"
"8","2001","6","Madhya Pradesh","Balaghat","1.0","3.9","3900.0"
"8","2002","6","Madhya Pradesh","Balaghat","0.8","3.6","4500.0"
"8","2003","6","Madhya Pradesh","Balaghat","1.2","4.8","4000.0"
"8","2004","6","Madhya Pradesh","Balaghat","1.57","3.02","1924.0"
"8","2005","6","Madhya Pradesh","Balaghat","1.65","3.8","2303.0"
"8","2006","6","Madhya Pradesh","Balaghat","1.73","2.8","1618.0"
"8","2007","6","Madhya Pradesh","Balaghat","1.0","4.1","4100.0"
"8","2008","6","Madhya Pradesh","Balaghat","0.8","3.9","4875.0"
"8","2009","6","Madhya Pradesh","Balaghat","0.9","4.6","5111.0"
"8","2010","6","Madhya Pradesh","Balaghat","0.7","3.6","5143.0"
"8","2011","6","Madhya Pradesh","Balaghat","1.5","5.5","3667.0"
"8","2012","6","Madhya Pradesh","Balaghat","0.68","3.42","5029.0"
"8","2013","6","Madhya Pradesh","Balaghat","0.91","4.86","5341.0"
"8","2014","6","Madhya Pradesh","Balaghat","1.0","5.0","5000.0"
"8","2015","6","Madhya Pradesh","Balaghat","1.0","3.0","3000.0"
"8","2016","6","Madhya Pradesh","Balaghat","0.0","0.0","0.0"
"8","2017","6","Madhya Pradesh","Balaghat","3.7","1.91","515.0"
"9","1990","6","Madhya Pradesh","Chhindwara","3.3","19.9","6030.0"
"9","1991","6","Madhya Pradesh","Chhindwara","3.26","16.8","5153.0"
"9","1992","6","Madhya Pradesh","Chhindwara","2.12","11.4","5377.0"
"9","1993","6","Madhya Pradesh","Chhindwara","2.02","12.1","5990.0"
"9","1994","6","Madhya Pradesh","Chhindwara","2.4","16.7","6958.0"
"9","1995","6","Madhya Pradesh","Chhindwara","4.7","32.0","6809.0"
"9","1996","6","Madhya Pradesh","Chhindwara","3.7","26.2","7081.0"
"9","1997","6","Madhya Pradesh","Chhindwara","5.22","35.2","6743.0"
"9","1998","6","Madhya Pradesh","Chhindwara","5.5","37.0","6727.0"
"9","1999","6","Madhya Pradesh","Chhindwara","8.4","57.0","6786.0"
"9","2000","6","Madhya Pradesh","Chhindwara","7.2","36.4","5056.0"
"9","2001","6","Madhya Pradesh","Chhindwara","5.7","25.2","4421.0"
"9","2002","6","Madhya Pradesh","Chhindwara","5.8","33.5","5776.0"
"9","2003","6","Madhya Pradesh","Chhindwara","6.1","38.9","6377.0"
"9","2004","6","Madhya Pradesh","Chhindwara","12.56","36.9","2938.0"
"9","2005","6","Madhya Pradesh","Chhindwara","14.11","38.01","2694.0"
"9","2006","6","Madhya Pradesh","Chhindwara","14.69","51.95","3536.0"
"9","2007","6","Madhya Pradesh","Chhindwara","6.7","45.0","6716.0"
"9","2008","6","Madhya Pradesh","Chhindwara","5.9","38.3","6492.0"
"9","2009","6","Madhya Pradesh","Chhindwara","4.7","30.9","6574.0"
"9","2010","6","Madhya Pradesh","Chhindwara","4.7","32.2","6851.0"
"9","2011","6","Madhya Pradesh","Chhindwara","6.1","41.3","6770.0"
"9","2012","6","Madhya Pradesh","Chhindwara","5.72","38.83","6788.0"
"9","2013","6","Madhya Pradesh","Chhindwara","4.53","31.38","6927.0"
"9","2014","6","Madhya Pradesh","Chhindwara","6.0","35.0","5833.0"
"9","2015","6","Madhya Pradesh","Chhindwara","4.0","19.0","4750.0"
"9","2016","6","Madhya Pradesh","Chhindwara","0.0","0.0","0.0"
"9","2017","6","Madhya Pradesh","Chhindwara","11.0","4.4","400.0"
"10","1990","6","Madhya Pradesh","Narsinghpur","2.76","9.6","3478.0"
"10","1991","6","Madhya Pradesh","Narsinghpur","3.01","13.8","4585.0"
"10","1992","6","Madhya Pradesh","Narsinghpur","3.13","13.0","4153.0"
"10","1993","6","Madhya Pradesh","Narsinghpur","2.93","12.7","4334.0"
"10","1994","6","Madhya Pradesh","Narsinghpur","6.0","26.0","4333.0"
"10","1995","6","Madhya Pradesh","Narsinghpur","6.9","30.8","4464.0"
"10","1996","6","Madhya Pradesh","Narsinghpur","7.1","31.9","4493.0"
"10","1997","6","Madhya Pradesh","Narsinghpur","5.34","23.8","4457.0"
"10","1998","6","Madhya Pradesh","Narsinghpur","6.3","29.4","4667.0"
"10","1999","6","Madhya Pradesh","Narsinghpur","5.8","24.6","4241.0"
"10","2000","6","Madhya Pradesh","Narsinghpur","7.0","33.4","4771.0"
"10","2001","6","Madhya Pradesh","Narsinghpur","8.0","38.1","4763.0"
"10","2002","6","Madhya Pradesh","Narsinghpur","8.2","38.3","4671.0"
"10","2003","6","Madhya Pradesh","Narsinghpur","8.2","38.5","4695.0"
"10","2004","6","Madhya Pradesh","Narsinghpur","18.8","50.78","2701.0"
"10","2005","6","Madhya Pradesh","Narsinghpur","25.63","85.4","3332.0"
"10","2006","6","Madhya Pradesh","Narsinghpur","31.96","115.14","3603.0"
"10","2007","6","Madhya Pradesh","Narsinghpur","31.6","154.6","4892.0"
"10","2008","6","Madhya Pradesh","Narsinghpur","18.7","93.4","4995.0"
"10","2009","6","Madhya Pradesh","Narsinghpur","16.0","70.2","4388.0"
"10","2010","6","Madhya Pradesh","Narsinghpur","15.2","66.9","4401.0"
"10","2011","6","Madhya Pradesh","Narsinghpur","25.6","104.0","4063.0"
"10","2012","6","Madhya Pradesh","Narsinghpur","19.08","116.34","6097.0"
"10","2013","6","Madhya Pradesh","Narsinghpur","24.26","120.56","4969.0"
"10","2014","6","Madhya Pradesh","Narsinghpur","40.0","221.0","5525.0"
"10","2015","6","Madhya Pradesh","Narsinghpur","51.0","280.0","5490.0"
"10","2016","6","Madhya Pradesh","Narsinghpur","55.0","401.8","7305.0"
"10","2017","6","Madhya Pradesh","Narsinghpur","51.1","30.07","588.0"
"11","1990","6","Madhya Pradesh","Seoni","0.39","1.2","3077.0"
"11","1991","6","Madhya Pradesh","Seoni","0.47","1.5","3191.0"
"11","1992","6","Madhya Pradesh","Seoni","0.23","0.8","3478.0"
"11","1993","6","Madhya Pradesh","Seoni","0.17","0.6","3529.0"
"11","1994","6","Madhya Pradesh","Seoni","0.2","0.7","3500.0"
"11","1995","6","Madhya Pradesh","Seoni","0.4","1.4","3500.0"
"11","1996","6","Madhya Pradesh","Seoni","0.5","1.5","3000.0"
"11","1997","6","Madhya Pradesh","Seoni","0.54","1.8","3333.0"
"11","1998","6","Madhya Pradesh","Seoni","0.5","1.7","3400.0"
"11","1999","6","Madhya Pradesh","Seoni","0.8","2.7","3375.0"
"11","2000","6","Madhya Pradesh","Seoni","1.0","2.2","2200.0"
"11","2001","6","Madhya Pradesh","Seoni","1.0","3.3","3300.0"
"11","2002","6","Madhya Pradesh","Seoni","0.7","2.0","2857.0"
"11","2003","6","Madhya Pradesh","Seoni","0.8","2.4","3000.0"
"11","2004","6","Madhya Pradesh","Seoni","1.33","1.62","1218.0"
"11","2005","6","Madhya Pradesh","Seoni","1.36","3.19","2346.0"
"11","2006","6","Madhya Pradesh","Seoni","1.61","3.08","1913.0"
"11","2007","6","Madhya Pradesh","Seoni","1.2","3.6","3000.0"
"11","2008","6","Madhya Pradesh","Seoni","1.2","3.6","3000.0"
"11","2009","6","Madhya Pradesh","Seoni","1.0","3.1","3100.0"
"11","2010","6","Madhya Pradesh","Seoni","1.1","3.4","3091.0"
"11","2011","6","Madhya Pradesh","Seoni","0.9","2.4","2667.0"
"11","2012","6","Madhya Pradesh","Seoni","0.77","2.36","3065.0"
"11","2013","6","Madhya Pradesh","Seoni","0.63","3.15","5000.0"
"11","2014","6","Madhya Pradesh","Seoni","1.0","5.0","5000.0"
"11","2015","6","Madhya Pradesh","Seoni","0.0","0.0","0.0"
"11","2016","6","Madhya Pradesh","Seoni","0.0","0.0","0.0"
"11","2017","6","Madhya Pradesh","Seoni","0.0","0.0","0.0"
"12","1990","6","Madhya Pradesh","Mandla","1.36","4.6","3382.0"
"12","1991","6","Madhya Pradesh","Mandla","1.61","4.8","2981.0"
"12","1992","6","Madhya Pradesh","Mandla","1.74","5.1","2931.0"
"12","1993","6","Madhya Pradesh","Mandla","1.68","5.2","3095.0"
"12","1994","6","Madhya Pradesh","Mandla","1.7","4.6","2706.0"
"12","1995","6","Madhya Pradesh","Mandla","2.9","8.3","2862.0"
"12","1996","6","Madhya Pradesh","Mandla","3.3","9.6","2909.0"
"12","1997","6","Madhya Pradesh","Mandla","1.83","5.4","2951.0"
"12","1998","6","Madhya Pradesh","Mandla","2.8","8.6","3071.0"
"12","1999","6","Madhya Pradesh","Mandla","1.0","2.1","2100.0"
"12","2000","6","Madhya Pradesh","Mandla","1.4","3.3","2357.0"
"12","2001","6","Madhya Pradesh","Mandla","0.7","1.4","2000.0"
"12","2002","6","Madhya Pradesh","Mandla","1.4","3.1","2214.0"
"12","2003","6","Madhya Pradesh","Mandla","1.0","2.2","2200.0"
"12","2004","6","Madhya Pradesh","Mandla","2.29","2.87","1253.0"
"12","2005","6","Madhya Pradesh","Mandla","2.51","2.5","996.0"
"12","2006","6","Madhya Pradesh","Mandla","2.84","3.51","1236.0"
"12","2007","6","Madhya Pradesh","Mandla","1.4","3.5","2500.0"
"12","2008","6","Madhya Pradesh","Mandla","1.4","3.3","2357.0"
"12","2009","6","Madhya Pradesh","Mandla","1.2","3.0","2500.0"
"12","2010","6","Madhya Pradesh","Mandla","1.3","3.2","2462.0"
"12","2011","6","Madhya Pradesh","Mandla","1.5","2.6","1733.0"
"12","2012","6","Madhya Pradesh","Mandla","2.88","6.94","2410.0"
"12","2013","6","Madhya Pradesh","Mandla","0.25","1.03","4120.0"
"12","2014","6","Madhya Pradesh","Mandla","1.0","5.0","5000.0"
"12","2015","6","Madhya Pradesh","Mandla","2.0","10.0","5000.0"
"12","2016","6","Madhya Pradesh","Mandla","0.0","0.0","0.0"
"12","2017","6","Madhya Pradesh","Mandla","2.81","1.01","358.0"
"13","1990","6","Madhya Pradesh","Sagar","0.09","0.2","2222.0"
"13","1991","6","Madhya Pradesh","Sagar","0.14","0.4","2857.0"
"13","1992","6","Madhya Pradesh","Sagar","0.12","0.3","2500.0"
"13","1993","6","Madhya Pradesh","Sagar","0.1","0.2","2000.0"
"13","1994","6","Madhya Pradesh","Sagar","0.1","0.3","3000.0"
"13","1995","6","Madhya Pradesh","Sagar","0.1","0.3","3000.0"
"13","1996","6","Madhya Pradesh","Sagar","0.2","0.4","2000.0"
"13","1997","6","Madhya Pradesh","Sagar","0.11","0.3","2727.0"
"13","1998","6","Madhya Pradesh","Sagar","0.1","0.4","4000.0"
"13","1999","6","Madhya Pradesh","Sagar","0.1","0.4","4000.0"
"13","2000","6","Madhya Pradesh","Sagar","0.1","0.3","3000.0"
"13","2001","6","Madhya Pradesh","Sagar","0.2","0.6","3000.0"
"13","2002","6","Madhya Pradesh","Sagar","0.2","0.6","3000.0"
"13","2003","6","Madhya Pradesh","Sagar","0.3","0.7","2333.0"
"13","2004","6","Madhya Pradesh","Sagar","0.4","0.57","1425.0"
"13","2005","6","Madhya Pradesh","Sagar","0.72","1.09","1514.0"
"13","2006","6","Madhya Pradesh","Sagar","0.85","1.0","1176.0"
"13","2007","6","Madhya Pradesh","Sagar","0.3","0.8","2667.0"
"13","2008","6","Madhya Pradesh","Sagar","0.3","0.7","2333.0"
"13","2009","6","Madhya Pradesh","Sagar","0.3","0.7","2333.0"
"13","2010","6","Madhya Pradesh","Sagar","0.3","0.9","3000.0"
"13","2011","6","Madhya Pradesh","Sagar","0.7","1.2","1714.0"
"13","2012","6","Madhya Pradesh","Sagar","0.5","1.56","3120.0"
"13","2013","6","Madhya Pradesh","Sagar","0.2","0.64","3200.0"
"13","2014","6","Madhya Pradesh","Sagar","1.0","4.0","4000.0"
"13","2015","6","Madhya Pradesh","Sagar","0.0","0.0","0.0"
"13","2016","6","Madhya Pradesh","Sagar","0.3","1.4","4667.0"
"13","2017","6","Madhya Pradesh","Sagar","0.49","0.24","480.0"
"14","1990","6","Madhya Pradesh","Damoh","0.04","0.1","2500.0"
"14","1991","6","Madhya Pradesh","Damoh","0.05","0.1","2000.0"
"14","1992","6","Madhya Pradesh","Damoh","0.04","0.1","2500.0"
"14","1993","6","Madhya Pradesh","Damoh","0.03","0.1","3333.0"
"14","1994","6","Madhya Pradesh","Damoh","0.0","0.1","0.0"
"14","1995","6","Madhya Pradesh","Damoh","0.0","0.1","0.0"
"14","1996","6","Madhya Pradesh","Damoh","0.1","0.3","3000.0"
"14","1997","6","Madhya Pradesh","Damoh","0.06","0.2","3333.0"
"14","1998","6","Madhya Pradesh","Damoh","0.1","0.2","2000.0"
"14","1999","6","Madhya Pradesh","Damoh","0.1","0.2","2000.0"
